iter	MultiClass
0	1.809755624
1	1.701459621
2	1.628948824
3	1.557068391
4	1.496447208
5	1.437172442
6	1.391282645
7	1.350281232
8	1.310495549
9	1.274100518
10	1.240998301
11	1.212091958
12	1.186363335
13	1.16205252
14	1.13988808
15	1.118683118
16	1.099496234
17	1.081125386
18	1.064564156
19	1.047781679
20	1.031558995
21	1.016882154
22	1.003368772
23	0.9903391113
24	0.9774603145
25	0.966500642
26	0.9545013058
27	0.9424996924
28	0.9320893755
29	0.9204166685
30	0.9098174402
31	0.9005912501
32	0.8916176931
33	0.8812667969
34	0.8733893731
35	0.8646129903
36	0.8561006884
37	0.8482060394
38	0.8401508389
39	0.8326378491
40	0.8266262426
41	0.8189039995
42	0.8104691094
43	0.8044549124
44	0.796593944
45	0.7909397283
46	0.7849921144
47	0.7801049164
48	0.775510413
49	0.7698335726
50	0.7648336
51	0.7594870828
52	0.7556039126
53	0.7508997591
54	0.7459951482
55	0.7416120544
56	0.7361178442
57	0.7322498764
58	0.7276785144
59	0.7239346644
60	0.7187644795
61	0.714226934
62	0.7106783882
63	0.706259179
64	0.7013130909
65	0.6975574095
66	0.6940845462
67	0.6905293254
68	0.6867290501
69	0.6817400115
70	0.678226387
71	0.6736686497
72	0.6680308606
73	0.664869446
74	0.6616809384
75	0.6571154861
76	0.6547292585
77	0.6508795865
78	0.6470235805
79	0.6438262998
80	0.6407309254
81	0.6367183958
82	0.6331180227
83	0.628690591
84	0.626623697
85	0.6229687142
86	0.6185574604
87	0.6135301058
88	0.6111913575
89	0.6054990719
90	0.6021318887
91	0.5992746997
92	0.5954118274
93	0.5928324543
94	0.5913346412
95	0.5886931069
96	0.5862368856
97	0.581604154
98	0.5784098772
99	0.5746362806
100	0.5714963167
101	0.5676607057
102	0.5644476049
103	0.5604449266
104	0.5577007153
105	0.5551673637
106	0.5535716842
107	0.5505919179
108	0.5470483236
109	0.5451953346
110	0.5418345886
111	0.5400157849
112	0.5371220332
113	0.5344142915
114	0.5318264095
115	0.5296368111
116	0.5275109276
117	0.5244251139
118	0.5199142984
119	0.5181535847
120	0.514537114
121	0.5114866789
122	0.508839558
123	0.5053408953
124	0.5023510646
125	0.4990475565
126	0.4979454348
127	0.4956544594
128	0.4942065663
129	0.4915265701
130	0.4885322686
131	0.4868251321
132	0.4839478148
133	0.4820556384
134	0.4791218636
135	0.4754693678
136	0.4730900655
137	0.4698214298
138	0.4672544821
139	0.4644831142
140	0.4615707666
141	0.4594160564
142	0.4563978887
143	0.454393881
144	0.4511506129
145	0.4480831302
146	0.4449287847
147	0.4430284807
148	0.440675525
149	0.4384625257
150	0.4370970175
151	0.4355485181
152	0.432640132
153	0.4312877756
154	0.4300149854
155	0.4284437946
156	0.427661025
157	0.4260070709
158	0.4246048879
159	0.4219480417
160	0.4199389377
161	0.4171839877
162	0.4144714475
163	0.4121777013
164	0.4104877784
165	0.4095472308
166	0.4066830674
167	0.4042889499
168	0.4029391467
169	0.4017917635
170	0.3992990766
171	0.3968355256
172	0.3950764818
173	0.3932562591
174	0.3914984964
175	0.3892526066
176	0.387282633
177	0.385238629
178	0.3828604391
179	0.3814909946
180	0.3795582071
181	0.3782470024
182	0.3761945971
183	0.374407958
184	0.3730111645
185	0.3717296707
186	0.3705638281
187	0.3685903902
188	0.3667922729
189	0.3646170142
190	0.3628041392
191	0.3616920238
192	0.3599513623
193	0.3586494393
194	0.3565843956
195	0.3553165179
196	0.353552267
197	0.3521575281
198	0.350789782
199	0.3504806741
200	0.3491039656
201	0.3475369648
202	0.3460645
203	0.3445839409
204	0.3430668058
205	0.3418915093
206	0.3409683978
207	0.3392643229
208	0.3382341043
209	0.3361541798
210	0.3344394659
211	0.3333965394
212	0.3325178376
213	0.3305654514
214	0.3294005055
215	0.327993243
216	0.3264881153
217	0.3252424678
218	0.3242102992
219	0.3232068766
220	0.3222831676
221	0.3211857892
222	0.3196162686
223	0.3177561807
224	0.3164933456
225	0.3155811186
226	0.3148720911
227	0.3132126357
228	0.3118702799
229	0.3103560534
230	0.3088579787
231	0.3072266486
232	0.3060961309
233	0.305539638
234	0.3045671462
235	0.3034258267
236	0.3018686951
237	0.3004659344
238	0.2990071608
239	0.2980810458
240	0.2974014378
241	0.2964917707
242	0.2948437298
243	0.2934825841
244	0.2917362442
245	0.290595116
246	0.2895113911
247	0.2885139591
248	0.2874220136
249	0.2867881365
250	0.28544092
251	0.2843838932
252	0.2835735561
253	0.2825791845
254	0.2814893943
255	0.2805188023
256	0.2791391866
257	0.2781449319
258	0.2769895572
259	0.276063443
260	0.2747260888
261	0.2731870549
262	0.2722157115
263	0.2709288154
264	0.2696883663
265	0.2685785842
266	0.2671299818
267	0.2659031885
268	0.2649635276
269	0.2640040151
270	0.2630626624
271	0.2617376256
272	0.2607671167
273	0.2597753268
274	0.2589837964
275	0.2575335315
276	0.2565227614
277	0.2556023527
278	0.2547822552
279	0.2541476478
280	0.2531863365
281	0.2523412791
282	0.2518608045
283	0.2509190199
284	0.2501161668
285	0.2490961448
286	0.248058031
287	0.2471486857
288	0.2459839863
289	0.2450762079
290	0.2440797502
291	0.2427492637
292	0.2419423873
293	0.2412369114
294	0.2403003634
295	0.2394880805
296	0.2386061683
297	0.2379351604
298	0.237222084
299	0.2364875879
