iter	Passed	Remaining
0	28	28194
1	50	25224
2	73	24537
3	97	24367
4	120	23963
5	143	23806
6	167	23735
7	191	23720
8	220	24293
9	242	23985
10	263	23647
11	284	23428
12	306	23243
13	327	23079
14	349	22923
15	371	22822
16	397	22999
17	443	24212
18	482	24922
19	497	24376
20	509	23774
21	523	23273
22	552	23466
23	584	23783
24	619	24144
25	656	24604
26	689	24832
27	725	25168
28	762	25543
29	797	25783
30	841	26310
31	874	26442
32	909	26638
33	939	26691
34	972	26810
35	1003	26871
36	1036	26969
37	1076	27258
38	1115	27476
39	1151	27646
40	1183	27673
41	1201	27411
42	1215	27041
43	1228	26697
44	1278	27131
45	1342	27835
46	1398	28349
47	1439	28554
48	1467	28483
49	1498	28476
50	1532	28510
51	1570	28635
52	1610	28773
53	1640	28743
54	1673	28748
55	1710	28837
56	1743	28850
57	1774	28813
58	1809	28852
59	1842	28861
60	1874	28856
61	1903	28796
62	1932	28734
63	1957	28634
64	1984	28542
65	2011	28460
66	2043	28450
67	2073	28420
68	2102	28366
69	2128	28274
70	2155	28199
71	2182	28134
72	2209	28054
73	2235	27978
74	2262	27903
75	2289	27835
76	2315	27760
77	2342	27693
78	2368	27612
79	2394	27540
80	2420	27458
81	2448	27410
82	2466	27252
83	2480	27046
84	2492	26835
85	2513	26710
86	2546	26728
87	2574	26679
88	2603	26646
89	2631	26604
90	2663	26609
91	2696	26611
92	2729	26624
93	2760	26611
94	2788	26564
95	2816	26522
96	2842	26465
97	2872	26441
98	2899	26386
99	2926	26334
100	2953	26291
101	2979	26230
102	3003	26157
103	3027	26086
104	3065	26133
105	3099	26137
106	3113	25981
107	3136	25903
108	3165	25872
109	3196	25858
110	3226	25839
111	3258	25838
112	3291	25834
113	3324	25840
114	3354	25811
115	3383	25783
116	3410	25738
117	3456	25835
118	3480	25765
119	3505	25709
120	3536	25687
121	3561	25628
122	3588	25585
123	3612	25522
124	3638	25466
125	3665	25426
126	3689	25361
127	3703	25230
128	3716	25092
129	3730	24964
130	3752	24889
131	3789	24918
132	3824	24931
133	3861	24953
134	3903	25008
135	3939	25028
136	3974	25038
137	4007	25032
138	4042	25039
139	4071	25013
140	4099	24974
141	4130	24957
142	4159	24930
143	4190	24910
144	4218	24876
145	4244	24824
146	4271	24786
147	4299	24751
148	4331	24739
149	4367	24751
150	4403	24758
151	4434	24741
152	4467	24730
153	4500	24724
154	4538	24739
155	4587	24821
156	4634	24886
157	4668	24876
158	4705	24886
159	4753	24956
160	4790	24962
161	4832	24996
162	4866	24987
163	4902	24991
164	4938	24993
165	4980	25023
166	5027	25076
167	5067	25094
168	5099	25074
169	5137	25081
170	5179	25110
171	5221	25134
172	5256	25129
173	5293	25128
174	5332	25138
175	5367	25129
176	5402	25117
177	5445	25145
178	5481	25143
179	5513	25116
180	5543	25085
181	5575	25057
182	5615	25070
183	5651	25062
184	5685	25047
185	5718	25027
186	5753	25015
187	5785	24989
188	5815	24952
189	5841	24904
